className_funcName,doc
RedisCache_setCacheObject,"/**
     * 缓存基本的对象，Integer、String、实体类等
     *
     * @param key 缓存的键值
     * @param value 缓存的值
     * @param timeout 时间
     * @param timeUnit 时间颗粒度
     */"
RedisCache_expire,"/**
     * 设置有效时间
     *
     * @param key Redis键
     * @param timeout 超时时间
     * @param unit 时间单位
     * @return true=设置成功；false=设置失败
     */"
RedisCache_getCacheObject,"/**
     * 获得缓存的基本对象。
     *
     * @param key 缓存键值
     * @return 缓存键值对应的数据
     */"
RedisCache_deleteObject,"/**
     * 删除集合对象
     *
     * @param collection 多个对象
     * @return
     */"
RedisCache_setCacheList,"/**
     * 缓存List数据
     *
     * @param key 缓存的键值
     * @param dataList 待缓存的List数据
     * @return 缓存的对象
     */"
RedisCache_getCacheList,"/**
     * 获得缓存的list对象
     *
     * @param key 缓存的键值
     * @return 缓存键值对应的数据
     */"
RedisCache_setCacheSet,"/**
     * 缓存Set
     *
     * @param key 缓存键值
     * @param dataSet 缓存的数据
     * @return 缓存数据的对象
     */"
RedisCache_getCacheSet,"/**
     * 获得缓存的set
     *
     * @param key
     * @return
     */"
RedisCache_setCacheMap,"/**
     * 缓存Map
     *
     * @param key
     * @param dataMap
     */"
RedisCache_getCacheMap,"/**
     * 获得缓存的Map
     *
     * @param key
     * @return
     */"
RedisCache_setCacheMapValue,"/**
     * 往Hash中存入数据
     *
     * @param key Redis键
     * @param hKey Hash键
     * @param value 值
     */"
RedisCache_getCacheMapValue,"/**
     * 获取Hash中的数据
     *
     * @param key Redis键
     * @param hKey Hash键
     * @return Hash中的对象
     */"
RedisCache_delCacheMapValue,"/**
     * 删除Hash中的数据
     * 
     * @param key
     * @param hKey
     */"
RedisCache_getMultiCacheMapValue,"/**
     * 获取多个Hash中的数据
     *
     * @param key Redis键
     * @param hKeys Hash键集合
     * @return Hash对象集合
     */"
RedisCache_keys,"/**
     * 获得缓存的基本对象列表
     *
     * @param pattern 字符串前缀
     * @return 对象列表
     */"
BaseController_initBinder,"/**
     * 将前台传递过来的日期格式的字符串，自动转化为Date类型
     */"
BaseController_startPage,"/**
     * 设置请求分页数据
     */"
BaseController_startOrderBy,"/**
     * 设置请求排序数据
     */"
BaseController_clearPage,"/**
     * 清理分页的线程变量
     */"
BaseController_getDataTable,"/**
     * 响应请求分页数据
     */"
BaseController_success,"/**
     * 返回成功消息
     */"
BaseController_error,"/**
     * 返回失败消息
     */"
BaseController_toAjax,"/**
     * 响应返回结果
     * 
     * @param result 结果
     * @return 操作结果
     */"
BaseController_redirect,"/**
     * 页面跳转
     */"
BaseController_getLoginUser,"/**
     * 获取用户缓存信息
     */"
BaseController_getUserId,"/**
     * 获取登录用户id
     */"
BaseController_getDeptId,"/**
     * 获取登录部门id
     */"
BaseController_getUsername,"/**
     * 获取登录用户名
     */"
TableSupport_getPageDomain,"/**
     * 封装分页对象
     */"
AjaxResult_success,"/**
     * 返回成功消息
     * 
     * @param msg 返回内容
     * @param data 数据对象
     * @return 成功消息
     */"
AjaxResult_error,"/**
     * 返回错误消息
     * 
     * @param code 状态码
     * @param msg 返回内容
     * @return 警告消息
     */"
AjaxResult_put,"/**
     * 方便链式调用
     *
     * @param key 键
     * @param value 值
     * @return 数据对象
     */"
LoginUser_isAccountNonExpired,"/**
     * 账户是否未过期,过期无法验证
     */"
LoginUser_isAccountNonLocked,"/**
     * 指定用户是否解锁,锁定的用户无法进行身份验证
     * 
     * @return
     */"
LoginUser_isCredentialsNonExpired,"/**
     * 指示是否已过期的用户的凭据(密码),过期的凭据防止认证
     * 
     * @return
     */"
LoginUser_isEnabled,"/**
     * 是否可用 ,禁用的用户不能身份验证
     * 
     * @return
     */"
Convert_toStr,"/**
     * 转换为字符串<br>
     * 如果给定的值为<code>null</code>，或者转换失败，返回默认值<code>null</code><br>
     * 转换失败不会报错
     *
     * @param value 被转换的值
     * @return 结果
     */"
Convert_toChar,"/**
     * 转换为字符<br>
     * 如果给定的值为<code>null</code>，或者转换失败，返回默认值<code>null</code><br>
     * 转换失败不会报错
     *
     * @param value 被转换的值
     * @return 结果
     */"
Convert_toByte,"/**
     * 转换为byte<br>
     * 如果给定的值为<code>null</code>，或者转换失败，返回默认值<code>null</code><br>
     * 转换失败不会报错
     *
     * @param value 被转换的值
     * @return 结果
     */"
Convert_toShort,"/**
     * 转换为Short<br>
     * 如果给定的值为<code>null</code>，或者转换失败，返回默认值<code>null</code><br>
     * 转换失败不会报错
     *
     * @param value 被转换的值
     * @return 结果
     */"
Convert_toNumber,"/**
     * 转换为Number<br>
     * 如果给定的值为空，或者转换失败，返回默认值<code>null</code><br>
     * 转换失败不会报错
     *
     * @param value 被转换的值
     * @return 结果
     */"
Convert_toInt,"/**
     * 转换为int<br>
     * 如果给定的值为<code>null</code>，或者转换失败，返回默认值<code>null</code><br>
     * 转换失败不会报错
     *
     * @param value 被转换的值
     * @return 结果
     */"
Convert_toIntArray,"/**
     * 转换为Integer数组<br>
     *
     * @param split 分隔符
     * @param split 被转换的值
     * @return 结果
     */"
Convert_toLongArray,"/**
     * 转换为Long数组<br>
     *
     * @param split 分隔符
     * @param str 被转换的值
     * @return 结果
     */"
Convert_toStrArray,"/**
     * 转换为String数组<br>
     *
     * @param split 分隔符
     * @param split 被转换的值
     * @return 结果
     */"
Convert_toLong,"/**
     * 转换为long<br>
     * 如果给定的值为<code>null</code>，或者转换失败，返回默认值<code>null</code><br>
     * 转换失败不会报错
     *
     * @param value 被转换的值
     * @return 结果
     */"
Convert_toDouble,"/**
     * 转换为double<br>
     * 如果给定的值为空，或者转换失败，返回默认值<code>null</code><br>
     * 转换失败不会报错
     *
     * @param value 被转换的值
     * @return 结果
     */"
Convert_toFloat,"/**
     * 转换为Float<br>
     * 如果给定的值为空，或者转换失败，返回默认值<code>null</code><br>
     * 转换失败不会报错
     *
     * @param value 被转换的值
     * @return 结果
     */"
Convert_toBool,"/**
     * 转换为boolean<br>
     * 如果给定的值为空，或者转换失败，返回默认值<code>null</code><br>
     * 转换失败不会报错
     *
     * @param value 被转换的值
     * @return 结果
     */"
Convert_toEnum,"/**
     * 转换为Enum对象<br>
     * 如果给定的值为空，或者转换失败，返回默认值<code>null</code><br>
     *
     * @param clazz Enum的Class
     * @param value 值
     * @return Enum
     */"
Convert_toBigInteger,"/**
     * 转换为BigInteger<br>
     * 如果给定的值为空，或者转换失败，返回默认值<code>null</code><br>
     * 转换失败不会报错
     *
     * @param value 被转换的值
     * @return 结果
     */"
Convert_toBigDecimal,"/**
     * 转换为BigDecimal<br>
     * 如果给定的值为空，或者转换失败，返回默认值<br>
     * 转换失败不会报错
     *
     * @param value 被转换的值
     * @return 结果
     */"
Convert_utf8Str,"/**
     * 将对象转为字符串<br>
     * 1、Byte数组和ByteBuffer会被转换为对应字符串的数组 2、对象数组会调用Arrays.toString方法
     *
     * @param obj 对象
     * @return 字符串
     */"
Convert_str,"/**
     * 将编码的byteBuffer数据转换为字符串
     *
     * @param data 数据
     * @param charset 字符集，如果为空使用当前系统字符集
     * @return 字符串
     */"
Convert_toSBC,"/**
     * 半角转全角
     *
     * @param input String
     * @param notConvertSet 不替换的字符集合
     * @return 全角字符串.
     */"
Convert_toDBC,"/**
     * 替换全角为半角
     *
     * @param text 文本
     * @param notConvertSet 不替换的字符集合
     * @return 替换后的字符
     */"
Convert_digitUppercase,"/**
     * 数字金额大写转换 先写个完整的然后将如零拾替换成零
     *
     * @param n 数字
     * @return 中文大写数字
     */"
StrFormatter_format,"/**
     * 格式化字符串<br>
     * 此方法只是简单将占位符 {} 按照顺序替换为参数<br>
     * 如果想输出 {} 使用 \\转义 { 即可，如果想输出 {} 之前的 \ 使用双转义符 \\\\ 即可<br>
     * 例：<br>
     * 通常使用：format(""this is {} for {}"", ""a"", ""b"") -> this is a for b<br>
     * 转义{}： format(""this is \\{} for {}"", ""a"", ""b"") -> this is \{} for a<br>
     * 转义\： format(""this is \\\\{} for {}"", ""a"", ""b"") -> this is \a for b<br>
     * 
     * @param strPattern 字符串模板
     * @param argArray 参数列表
     * @return 结果
     */"
CharsetKit_charset,"/**
     * 转换为Charset对象
     * 
     * @param charset 字符集，为空则返回默认字符集
     * @return Charset
     */"
CharsetKit_convert,"/**
     * 转换字符串的字符集编码
     * 
     * @param source 字符串
     * @param srcCharset 源字符集，默认ISO-8859-1
     * @param destCharset 目标字符集，默认UTF-8
     * @return 转换后的字符集
     */"
CharsetKit_systemCharset,"/**
     * @return 系统字符集编码
     */"
RuoYiConfig_getImportPath,"/**
     * 获取导入上传路径
     */"
RuoYiConfig_getAvatarPath,"/**
     * 获取头像上传路径
     */"
RuoYiConfig_getDownloadPath,"/**
     * 获取下载路径
     */"
RuoYiConfig_getUploadPath,"/**
     * 获取上传路径
     */"
XssHttpServletRequestWrapper_isJsonRequest,"/**
     * 是否是Json请求
     * 
     * @param request
     */"
ExceptionUtil_getExceptionMessage,"/**
     * 获取exception的详细错误信息。
     */"
StringUtils_nvl,"/**
     * 获取参数不为空值
     * 
     * @param value defaultValue 要判断的value
     * @return value 返回值
     */"
StringUtils_isEmpty,"/**
     * * 判断一个字符串是否为空串
     * 
     * @param str String
     * @return true：为空 false：非空
     */"
StringUtils_isNotEmpty,"/**
     * * 判断一个字符串是否为非空串
     * 
     * @param str String
     * @return true：非空串 false：空串
     */"
StringUtils_isNull,"/**
     * * 判断一个对象是否为空
     * 
     * @param object Object
     * @return true：为空 false：非空
     */"
StringUtils_isNotNull,"/**
     * * 判断一个对象是否非空
     * 
     * @param object Object
     * @return true：非空 false：空
     */"
StringUtils_isArray,"/**
     * * 判断一个对象是否是数组类型（Java基本型别的数组）
     * 
     * @param object 对象
     * @return true：是数组 false：不是数组
     */"
StringUtils_trim,"/**
     * 去空格
     */"
StringUtils_substring,"/**
     * 截取字符串
     * 
     * @param str 字符串
     * @param start 开始
     * @param end 结束
     * @return 结果
     */"
StringUtils_format,"/**
     * 格式化文本, {} 表示占位符<br>
     * 此方法只是简单将占位符 {} 按照顺序替换为参数<br>
     * 如果想输出 {} 使用 \\转义 { 即可，如果想输出 {} 之前的 \ 使用双转义符 \\\\ 即可<br>
     * 例：<br>
     * 通常使用：format(""this is {} for {}"", ""a"", ""b"") -> this is a for b<br>
     * 转义{}： format(""this is \\{} for {}"", ""a"", ""b"") -> this is \{} for a<br>
     * 转义\： format(""this is \\\\{} for {}"", ""a"", ""b"") -> this is \a for b<br>
     * 
     * @param template 文本模板，被替换的部分用 {} 表示
     * @param params 参数值
     * @return 格式化后的文本
     */"
StringUtils_ishttp,"/**
     * 是否为http(s)://开头
     * 
     * @param link 链接
     * @return 结果
     */"
StringUtils_str2Set,"/**
     * 字符串转set
     * 
     * @param str 字符串
     * @param sep 分隔符
     * @return set集合
     */"
StringUtils_str2List,"/**
     * 字符串转list
     * 
     * @param str 字符串
     * @param sep 分隔符
     * @param filterBlank 过滤纯空白
     * @param trim 去掉首尾空白
     * @return list集合
     */"
StringUtils_containsAnyIgnoreCase,"/**
     * 查找指定字符串是否包含指定字符串列表中的任意一个字符串同时串忽略大小写
     *
     * @param cs 指定字符串
     * @param searchCharSequences 需要检查的字符串数组
     * @return 是否包含任意一个字符串
     */"
StringUtils_toUnderScoreCase,"/**
     * 驼峰转下划线命名
     */"
StringUtils_inStringIgnoreCase,"/**
     * 是否包含字符串
     * 
     * @param str 验证字符串
     * @param strs 字符串组
     * @return 包含返回true
     */"
StringUtils_convertToCamelCase,"/**
     * 将下划线大写方式命名的字符串转换为驼峰式。如果转换前的下划线大写方式命名的字符串为空，则返回空字符串。 例如：HELLO_WORLD->HelloWorld
     * 
     * @param name 转换前的下划线大写方式命名的字符串
     * @return 转换后的驼峰式命名的字符串
     */"
StringUtils_toCamelCase,"/**
     * 驼峰式命名法 例如：user_name->userName
     */"
StringUtils_matches,"/**
     * 查找指定字符串是否匹配指定字符串列表中的任意一个字符串
     * 
     * @param str 指定字符串
     * @param strs 需要检查的字符串数组
     * @return 是否匹配
     */"
StringUtils_isMatch,"/**
     * 判断url是否与规则配置: 
     * ? 表示单个字符; 
     * * 表示一层路径内的任意字符串，不可跨层级; 
     * ** 表示任意层路径;
     * 
     * @param pattern 匹配规则
     * @param url 需要匹配的url
     * @return
     */"
StringUtils_padl,"/**
     * 字符串左补齐。如果原始字符串s长度大于size，则只保留最后size个字符。
     * 
     * @param s 原始字符串
     * @param size 字符串指定长度
     * @param c 用于补齐的字符
     * @return 返回指定长度的字符串，由原字符串左补齐或截取得到。
     */"
MessageUtils_message,"/**
     * 根据消息键和参数 获取消息 委托给spring messageSource
     *
     * @param code 消息键
     * @param args 参数
     * @return 获取国际化翻译值
     */"
SecurityUtils_getUserId,"/**
     * 用户ID
     **/"
SecurityUtils_getDeptId,"/**
     * 获取部门ID
     **/"
SecurityUtils_getUsername,"/**
     * 获取用户账户
     **/"
SecurityUtils_getLoginUser,"/**
     * 获取用户
     **/"
SecurityUtils_getAuthentication,"/**
     * 获取Authentication
     */"
SecurityUtils_encryptPassword,"/**
     * 生成BCryptPasswordEncoder密码
     *
     * @param password 密码
     * @return 加密字符串
     */"
SecurityUtils_matchesPassword,"/**
     * 判断密码是否相同
     *
     * @param rawPassword 真实密码
     * @param encodedPassword 加密后字符
     * @return 结果
     */"
SecurityUtils_isAdmin,"/**
     * 是否为管理员
     * 
     * @param userId 用户ID
     * @return 结果
     */"
DictUtils_setDictCache,"/**
     * 设置字典缓存
     * 
     * @param key 参数键
     * @param dictDatas 字典数据列表
     */"
DictUtils_getDictCache,"/**
     * 获取字典缓存
     * 
     * @param key 参数键
     * @return dictDatas 字典数据列表
     */"
DictUtils_getDictLabel,"/**
     * 根据字典类型和字典值获取字典标签
     * 
     * @param dictType 字典类型
     * @param dictValue 字典值
     * @param separator 分隔符
     * @return 字典标签
     */"
DictUtils_getDictValue,"/**
     * 根据字典类型和字典标签获取字典值
     * 
     * @param dictType 字典类型
     * @param dictLabel 字典标签
     * @param separator 分隔符
     * @return 字典值
     */"
DictUtils_removeDictCache,"/**
     * 删除指定字典缓存
     * 
     * @param key 字典键
     */"
DictUtils_clearDictCache,"/**
     * 清空字典缓存
     */"
DictUtils_getCacheKey,"/**
     * 设置cache key
     * 
     * @param configKey 参数键
     * @return 缓存键key
     */"
Threads_sleep,"/**
     * sleep等待,单位为毫秒
     */"
Threads_shutdownAndAwaitTermination,"/**
     * 停止线程池
     * 先使用shutdown, 停止接收新任务并尝试完成所有已存在任务.
     * 如果超时, 则调用shutdownNow, 取消在workQueue中Pending的任务,并中断所有阻塞函数.
     * 如果仍然超時，則強制退出.
     * 另对在shutdown时线程本身被调用中断做了处理.
     */"
Threads_printException,"/**
     * 打印线程异常信息
     */"
ServletUtils_getParameter,"/**
     * 获取String参数
     */"
ServletUtils_getParameterToInt,"/**
     * 获取Integer参数
     */"
ServletUtils_getParameterToBool,"/**
     * 获取Boolean参数
     */"
ServletUtils_getRequest,"/**
     * 获取request
     */"
ServletUtils_getResponse,"/**
     * 获取response
     */"
ServletUtils_getSession,"/**
     * 获取session
     */"
ServletUtils_renderString,"/**
     * 将字符串渲染到客户端
     * 
     * @param response 渲染对象
     * @param string 待渲染的字符串
     */"
ServletUtils_isAjaxRequest,"/**
     * 是否是Ajax异步请求
     * 
     * @param request
     */"
ServletUtils_urlEncode,"/**
     * 内容编码
     *
     * @param str 内容
     * @return 编码后的内容
     */"
ServletUtils_urlDecode,"/**
     * 内容解码
     *
     * @param str 内容
     * @return 解码后的内容
     */"
DateUtils_getNowDate,"/**
     * 获取当前Date型日期
     * 
     * @return Date() 当前日期
     */"
DateUtils_getDate,"/**
     * 获取当前日期, 默认格式为yyyy-MM-dd
     * 
     * @return String
     */"
DateUtils_datePath,"/**
     * 日期路径 即年/月/日 如2018/08/08
     */"
DateUtils_dateTime,"/**
     * 日期路径 即年/月/日 如20180808
     */"
DateUtils_parseDate,"/**
     * 日期型字符串转化为日期 格式
     */"
DateUtils_getServerStartDate,"/**
     * 获取服务器启动时间
     */"
DateUtils_differentDaysByMillisecond,"/**
     * 计算相差天数
     */"
DateUtils_getDatePoor,"/**
     * 计算两个时间差
     */"
DateUtils_toDate,"/**
     * 增加 LocalDate ==> Date
     */"
Arith_add,"/**
     * 提供精确的加法运算。
     * @param v1 被加数
     * @param v2 加数
     * @return 两个参数的和
     */"
Arith_sub,"/**
     * 提供精确的减法运算。
     * @param v1 被减数
     * @param v2 减数
     * @return 两个参数的差
     */"
Arith_mul,"/**
     * 提供精确的乘法运算。
     * @param v1 被乘数
     * @param v2 乘数
     * @return 两个参数的积
     */"
Arith_div,"/**
     * 提供（相对）精确的除法运算。当发生除不尽的情况时，由scale参数指
     * 定精度，以后的数字四舍五入。
     * @param v1 被除数
     * @param v2 除数
     * @param scale 表示表示需要精确到小数点以后几位。
     * @return 两个参数的商
     */"
Arith_round,"/**
     * 提供精确的小数位四舍五入处理。
     * @param v 需要四舍五入的数字
     * @param scale 小数点后保留几位
     * @return 四舍五入后的结果
     */"
PageUtils_startPage,"/**
     * 设置请求分页数据
     */"
PageUtils_clearPage,"/**
     * 清理分页的线程变量
     */"
SpringUtils_getBean,"/**
     * 获取类型为requiredType的对象
     *
     * @param clz
     * @return
     * @throws org.springframework.beans.BeansException
     *
     */"
SpringUtils_containsBean,"/**
     * 如果BeanFactory包含一个与所给名称匹配的bean定义，则返回true
     *
     * @param name
     * @return boolean
     */"
SpringUtils_isSingleton,"/**
     * 判断以给定名字注册的bean定义是一个singleton还是一个prototype。 如果与给定名字相应的bean定义没有被找到，将会抛出一个异常（NoSuchBeanDefinitionException）
     *
     * @param name
     * @return boolean
     * @throws org.springframework.beans.factory.NoSuchBeanDefinitionException
     *
     */"
SpringUtils_getType,"/**
     * @param name
     * @return Class 注册对象的类型
     * @throws org.springframework.beans.factory.NoSuchBeanDefinitionException
     *
     */"
SpringUtils_getAliases,"/**
     * 如果给定的bean名字在bean定义中有别名，则返回这些别名
     *
     * @param name
     * @return
     * @throws org.springframework.beans.factory.NoSuchBeanDefinitionException
     *
     */"
SpringUtils_getAopProxy,"/**
     * 获取aop代理对象
     * 
     * @param invoker
     * @return
     */"
SpringUtils_getActiveProfiles,"/**
     * 获取当前的环境配置，无配置返回null
     *
     * @return 当前的环境配置
     */"
SpringUtils_getActiveProfile,"/**
     * 获取当前的环境配置，当有多个环境配置时，只获取第一个
     *
     * @return 当前的环境配置
     */"
IpUtils_getIpAddr,"/**
     * 获取客户端IP
     * 
     * @param request 请求对象
     * @return IP地址
     */"
IpUtils_internalIp,"/**
     * 检查是否为内部IP地址
     * 
     * @param addr byte地址
     * @return 结果
     */"
IpUtils_textToNumericFormatV4,"/**
     * 将IPv4地址转换成字节
     * 
     * @param text IPv4地址
     * @return byte 字节
     */"
IpUtils_getHostIp,"/**
     * 获取IP地址
     * 
     * @return 本地IP地址
     */"
IpUtils_getHostName,"/**
     * 获取主机名
     * 
     * @return 本地主机名
     */"
IpUtils_getMultistageReverseProxyIp,"/**
     * 从多级反向代理中获得第一个非unknown IP地址
     *
     * @param ip 获得的IP地址
     * @return 第一个非unknown IP地址
     */"
IpUtils_isUnknown,"/**
     * 检测给定字符串是否为未知，多用于检测HTTP请求相关
     *
     * @param checkString 被检测的字符串
     * @return 是否未知
     */"
ReflectUtils_invokeGetter,"/**
     * 调用Getter方法.
     * 支持多级，如：对象名.对象名.方法
     */"
ReflectUtils_invokeSetter,"/**
     * 调用Setter方法, 仅匹配方法名。
     * 支持多级，如：对象名.对象名.方法
     */"
ReflectUtils_getFieldValue,"/**
     * 直接读取对象属性值, 无视private/protected修饰符, 不经过getter函数.
     */"
ReflectUtils_setFieldValue,"/**
     * 直接设置对象属性值, 无视private/protected修饰符, 不经过setter函数.
     */"
ReflectUtils_invokeMethod,"/**
     * 直接调用对象方法, 无视private/protected修饰符.
     * 用于一次性调用的情况，否则应使用getAccessibleMethod()函数获得Method后反复调用.
     * 同时匹配方法名+参数类型，
     */"
ReflectUtils_invokeMethodByName,"/**
     * 直接调用对象方法, 无视private/protected修饰符，
     * 用于一次性调用的情况，否则应使用getAccessibleMethodByName()函数获得Method后反复调用.
     * 只匹配函数名，如果有多个同名函数调用第一个。
     */"
ReflectUtils_getAccessibleField,"/**
     * 循环向上转型, 获取对象的DeclaredField, 并强制设置为可访问.
     * 如向上转型到Object仍无法找到, 返回null.
     */"
ReflectUtils_getAccessibleMethod,"/**
     * 循环向上转型, 获取对象的DeclaredMethod,并强制设置为可访问.
     * 如向上转型到Object仍无法找到, 返回null.
     * 匹配函数名+参数类型。
     * 用于方法需要被多次调用的情况. 先使用本函数先取得Method,然后调用Method.invoke(Object obj, Object... args)
     */"
ReflectUtils_getAccessibleMethodByName,"/**
     * 循环向上转型, 获取对象的DeclaredMethod,并强制设置为可访问.
     * 如向上转型到Object仍无法找到, 返回null.
     * 只匹配函数名。
     * 用于方法需要被多次调用的情况. 先使用本函数先取得Method,然后调用Method.invoke(Object obj, Object... args)
     */"
ReflectUtils_makeAccessible,"/**
     * 改变private/protected的成员变量为public，尽量不调用实际改动的语句，避免JDK的SecurityManager抱怨。
     */"
ReflectUtils_getClassGenricType,"/**
     * 通过反射, 获得Class定义中声明的父类的泛型参数的类型.
     * 如无法找到, 返回Object.class.
     */"
ReflectUtils_convertReflectionExceptionToUnchecked,"/**
     * 将反射时的checked exception转换为unchecked exception.
     */"
FileUtils_writeBytes,"/**
     * 写数据到文件中
     *
     * @param data 数据
     * @param uploadDir 目标文件
     * @return 目标文件
     * @throws IOException IO异常
     */"
FileUtils_writeImportBytes,"/**
     * 写数据到文件中
     *
     * @param data 数据
     * @return 目标文件
     * @throws IOException IO异常
     */"
FileUtils_deleteFile,"/**
     * 删除文件
     * 
     * @param filePath 文件
     * @return
     */"
FileUtils_isValidFilename,"/**
     * 文件名称验证
     * 
     * @param filename 文件名称
     * @return true 正常 false 非法
     */"
FileUtils_checkAllowDownload,"/**
     * 检查文件是否可下载
     * 
     * @param resource 需要下载的文件
     * @return true 正常 false 非法
     */"
FileUtils_setFileDownloadHeader,"/**
     * 下载文件名重新编码
     * 
     * @param request 请求对象
     * @param fileName 文件名
     * @return 编码后的文件名
     */"
FileUtils_setAttachmentResponseHeader,"/**
     * 下载文件名重新编码
     *
     * @param response 响应对象
     * @param realFileName 真实文件名
     */"
FileUtils_percentEncode,"/**
     * 百分号编码工具方法
     *
     * @param s 需要百分号编码的字符串
     * @return 百分号编码后的字符串
     */"
FileUtils_getFileExtendName,"/**
     * 获取图像后缀
     * 
     * @param photoByte 图像数据
     * @return 后缀名
     */"
FileUtils_getName,"/**
     * 获取名称
     * 
     * @param fileName 路径名称
     * @return 没有文件路径的名称
     */"
FileUploadUtils_upload,"/**
     * 文件上传
     *
     * @param baseDir 相对应用的基目录
     * @param file 上传的文件
     * @param allowedExtension 上传文件类型
     * @return 返回上传成功的文件名
     * @throws FileSizeLimitExceededException 如果超出最大大小
     * @throws FileNameLengthLimitExceededException 文件名太长
     * @throws IOException 比如读写文件出错时
     * @throws InvalidExtensionException 文件校验异常
     */"
FileUploadUtils_uploadMinio,"/**
     * 自定义bucketName配置上传到Minio服务器
     *
     * @param file 上传的文件
     * @return 文件名称
     * @throws Exception
     */"
FileUploadUtils_extractFilename,"/**
     * 编码文件名
     */"
FileUploadUtils_assertAllowed,"/**
     * 文件大小校验
     *
     * @param file 上传的文件
     * @return
     * @throws FileSizeLimitExceededException 如果超出最大大小
     * @throws InvalidExtensionException
     */"
FileUploadUtils_isAllowedExtension,"/**
     * 判断MIME类型是否是允许的MIME类型
     *
     * @param extension
     * @param allowedExtension
     * @return
     */"
FileUploadUtils_getExtension,"/**
     * 获取文件名的后缀
     *
     * @param file 表单文件
     * @return 后缀名
     */"
FileTypeUtils_getFileType,"/**
     * 获取文件类型
     * <p>
     * 例如: ruoyi.txt, 返回: txt
     *
     * @param fileName 文件名
     * @return 后缀（不含""."")
     */"
FileTypeUtils_getFileExtendName,"/**
     * 获取文件类型
     * 
     * @param photoByte 文件字节码
     * @return 后缀（不含""."")
     */"
MinioUtil_uploadFile,"/**
     * 上传文件
     *
     * @param bucketName 桶名称
     * @param fileName
     * @throws IOException
     */"
ImageUtils_readFile,"/**
     * 读取文件为字节数据
     * 
     * @param url 地址
     * @return 字节数据
     */"
EscapeUtil_escape,"/**
     * 转义文本中的HTML字符为安全的字符
     * 
     * @param text 被转义的文本
     * @return 转义后的文本
     */"
EscapeUtil_unescape,"/**
     * 还原被转义的HTML特殊字符
     * 
     * @param content 包含转义符的HTML内容
     * @return 转换后的字符串
     */"
EscapeUtil_clean,"/**
     * 清除所有HTML标签，但是不删除标签内的内容
     * 
     * @param content 文本
     * @return 清除标签后的文本
     */"
EscapeUtil_encode,"/**
     * Escape编码
     * 
     * @param text 被编码的文本
     * @return 编码后的字符
     */"
EscapeUtil_decode,"/**
     * Escape解码
     * 
     * @param content 被转义的内容
     * @return 解码后的字符串
     */"
HTMLFilter_filter,"/**
     * given a user submitted input String, filter out any invalid or restricted html.
     *
     * @param input text (i.e. submitted by a user) than may contain html
     * @return ""clean"" version of input, with only valid, whitelisted html elements allowed
     */"
Base64_encode,"/**
     * Encodes hex octects into Base64
     *
     * @param binaryData Array containing binaryData
     * @return Encoded Base64 array
     */"
Base64_decode,"/**
     * Decodes Base64 data into octects
     *
     * @param encoded string containing Base64 data
     * @return Array containind decoded data.
     */"
Base64_removeWhiteSpace,"/**
     * remove WhiteSpace from MIME containing encoded Base64 data.
     *
     * @param data the byte array of base64 data (with WS)
     * @return the new length
     */"
ExcelUtil_createTitle,"/**
     * 创建excel第一行标题
     */"
ExcelUtil_importExcel,"/**
     * 对excel表单指定表格索引名转换成list
     * 
     * @param sheetName 表格索引名
     * @param titleNum 标题占用行数
     * @param is 输入流
     * @return 转换后集合
     */"
ExcelUtil_exportExcel,"/**
     * 对list数据源将其里面的数据导入到excel表单
     * 
     * @return 结果
     */"
ExcelUtil_importTemplateExcel,"/**
     * 对list数据源将其里面的数据导入到excel表单
     * 
     * @param sheetName 工作表的名称
     * @param title 标题
     * @return 结果
     */"
ExcelUtil_writeSheet,"/**
     * 创建写入数据到Sheet
     */"
ExcelUtil_fillExcelData,"/**
     * 填充excel数据
     * 
     * @param index 序号
     * @param row 单元格行
     */"
ExcelUtil_createStyles,"/**
     * 创建表格样式
     * 
     * @param wb 工作薄对象
     * @return 样式列表
     */"
ExcelUtil_createCell,"/**
     * 创建单元格
     */"
ExcelUtil_setCellVo,"/**
     * 设置单元格信息
     * 
     * @param value 单元格值
     * @param attr 注解相关
     * @param cell 单元格信息
     */"
ExcelUtil_getDrawingPatriarch,"/**
     * 获取画布
     */"
ExcelUtil_getImageType,"/**
     * 获取图片类型,设置图片插入类型
     */"
ExcelUtil_setDataValidation,"/**
     * 创建表格样式
     */"
ExcelUtil_addCell,"/**
     * 添加单元格
     */"
ExcelUtil_setPromptOrValidation,"/**
     * 设置 POI XSSFSheet 单元格提示或选择框
     * 
     * @param sheet 表单
     * @param textlist 下拉框显示的内容
     * @param promptContent 提示内容
     * @param firstRow 开始行
     * @param endRow 结束行
     * @param firstCol 开始列
     * @param endCol 结束列
     */"
ExcelUtil_convertByExp,"/**
     * 解析导出值 0=男,1=女,2=未知
     * 
     * @param propertyValue 参数值
     * @param converterExp 翻译注解
     * @param separator 分隔符
     * @return 解析后值
     */"
ExcelUtil_reverseByExp,"/**
     * 反向解析值 男=0,女=1,未知=2
     * 
     * @param propertyValue 参数值
     * @param converterExp 翻译注解
     * @param separator 分隔符
     * @return 解析后值
     */"
ExcelUtil_convertDictByExp,"/**
     * 解析字典值
     * 
     * @param dictValue 字典值
     * @param dictType 字典类型
     * @param separator 分隔符
     * @return 字典标签
     */"
