index,className_funcName,doc
172,SearchRestrictions_or,"/**
     * Creates restriction which join given restrictions with ""OR"" operator.
     * 
     * @param firstCriterion
     *            first criterion
     * @param secondCriterion
     *            second criterion
     * @param otherCriteria
     *            other criteria
     * @return criterion
     */"
173,SearchRestrictions_and,"/**
     * Creates restriction which join given restrictions with ""AND"" operator.
     * 
     * @param firstCriterion
     *            first criterion
     * @param secondCriterion
     *            second criterion
     * @param otherCriteria
     *            other criteria
     * @return criterion
     */"
174,SearchRestrictions_not,"/**
     * Wraps given criterion with ""not"" criterion.
     * 
     * @param criterion
     *            criterion
     * @return negated criterion
     */"
175,SearchRestrictions_idEq,"/**
     * Creates criterion which checks if id is equal to given value.
     * 
     * @param value
     *            value
     * @return criterion
     */"
176,SearchRestrictions_idNe,"/**
     * Creates criterion which checks if id isn't equal to given value.
     * 
     * @param value
     *            value
     * @return criterion
     */"
177,SearchRestrictions_allEq,"/**
     * Creates criterion which checks if all given fields match given values.
     * 
     * @param values
     *            map where key is a field's name and value is the expected value
     * @return criterion
     */"
178,SearchRestrictions_like,"/**
     * Creates criterion which checks if field is equal (using ""like"" operator) to given value.
     * 
     * @param field
     *            field
     * @param mode
     *            match mode
     * @param value
     *            value
     * @return criterion
     */"
179,SearchRestrictions_ilike,"/**
     * Creates criterion which checks if field is equal (using case-insensitive ""like"" operator) to given value.
     * 
     * @param field
     *            field
     * @param mode
     *            match mode
     * @param value
     *            value
     * @return criterion
     */"
180,SearchRestrictions_le,"/**
     * Creates criterion which checks if field is less than or equal to given value.
     * 
     * @param field
     *            field
     * @param value
     *            value
     * @return criterion
     */"
181,SearchRestrictions_lt,"/**
     * Creates criterion which checks if field is less than given value.
     * 
     * @param field
     *            field
     * @param value
     *            value
     * @return criterion
     */"
182,SearchRestrictions_ge,"/**
     * Creates criterion which checks if field is greater than or equal to given value.
     * 
     * @param field
     *            field
     * @param value
     *            value
     * @return criterion
     */"
183,SearchRestrictions_gt,"/**
     * Creates criterion which checks if field is greater than given value.
     * 
     * @param field
     *            field
     * @param value
     *            value
     * @return criterion
     */"
184,SearchRestrictions_ne,"/**
     * Creates criterion which checks if field isn't equal to given value.
     * 
     * @param field
     *            field
     * @param value
     *            value
     * @return criterion
     */"
185,SearchRestrictions_eq,"/**
     * Creates criterion which checks if field is equal to given value.
     * 
     * @param field
     *            field
     * @param value
     *            value
     * @return criterion
     */"
186,SearchRestrictions_iEq,"/**
     * Creates criterion which checks if field is equal (using case-insensitive ""eq"" operator) to given value.
     * 
     * @param field
     *            field
     * @param value
     *            value
     * @return criterion
     */"
187,SearchRestrictions_leField,"/**
     * Creates criterion which checks if field is less than or equal to other field.
     * 
     * @param field
     *            field
     * @param otherField
     *            other field
     * @return criterion
     */"
188,SearchRestrictions_ltField,"/**
     * Creates criterion which checks if field is less than other field.
     * 
     * @param field
     *            field
     * @param otherField
     *            other field
     * @return criterion
     */"
189,SearchRestrictions_geField,"/**
     * Creates criterion which checks if field is greater than or equal to other field.
     * 
     * @param field
     *            field
     * @param otherField
     *            other field
     * @return criterion
     */"
190,SearchRestrictions_gtField,"/**
     * Creates criterion which checks if field is greater than other field.
     * 
     * @param field
     *            field
     * @param otherField
     *            other field
     * @return criterion
     */"
191,SearchRestrictions_neField,"/**
     * Creates criterion which checks if field isn't equal to other field.
     * 
     * @param field
     *            field
     * @param otherField
     *            other field
     * @return criterion
     */"
192,SearchRestrictions_eqField,"/**
     * Creates criterion which checks if field is equal to other field.
     * 
     * @param field
     *            field
     * @param otherField
     *            other field
     * @return criterion
     */"
193,SearchRestrictions_isNotNull,"/**
     * Creates criterion which checks if field is not null.
     * 
     * @param field
     *            field
     * @return criterion
     */"
194,SearchRestrictions_isNull,"/**
     * Creates criterion which checks if field is null.
     * 
     * @param field
     *            field
     * @return criterion
     */"
195,SearchRestrictions_sizeEq,"/**
     * Creates criterion which checks if ""collection"" field's size is equal to given size.
     * 
     * @param field
     *            field
     * @param size
     *            size
     * @return criterion
     */"
196,SearchRestrictions_sizeLe,"/**
     * Creates criterion which checks if ""collection"" field's size is less than or equal to given size.
     * 
     * @param field
     *            field
     * @param size
     *            size
     * @return criterion
     */"
197,SearchRestrictions_sizeLt,"/**
     * Creates criterion which checks if ""collection"" field's size is less than given size.
     * 
     * @param field
     *            field
     * @param size
     *            size
     * @return criterion
     */"
198,SearchRestrictions_sizeGe,"/**
     * Creates criterion which checks if ""collection"" field's size is greater than or equal to given size.
     * 
     * @param field
     *            field
     * @param size
     *            size
     * @return criterion
     */"
199,SearchRestrictions_sizeGt,"/**
     * Creates criterion which checks if ""collection"" field's size is greater than given size.
     * 
     * @param field
     *            field
     * @param size
     *            size
     * @return criterion
     */"
200,SearchRestrictions_sizeNe,"/**
     * Creates criterion which checks if ""collection"" field's size isn't equal to given size.
     * 
     * @param field
     *            field
     * @param size
     *            size
     * @return criterion
     */"
201,SearchRestrictions_isEmpty,"/**
     * Creates criterion which checks if ""collection"" field's size is empty.
     * 
     * @param field
     *            field
     * @return criterion
     */"
202,SearchRestrictions_isNotEmpty,"/**
     * Creates criterion which checks if ""collection"" field's size isn't empty.
     * 
     * @param field
     *            field
     * @return criterion
     */"
203,SearchRestrictions_between,"/**
     * Creates criterion which checks if field is between given values.
     * 
     * @param field
     *            field
     * @param lo
     *            low value
     * @param hi
     *            high value
     * @return criterion
     */"
204,SearchRestrictions_in,"/**
     * Creates criterion which checks if field is in given values.
     * 
     * @param field
     *            field
     * @param values
     *            values
     * @return criterion
     */"
205,SearchRestrictions_inIgnoringCase,"/**
     * Creates criterion which checks if field is in given values ignoring case.
     *
     * @param field
     *            field
     * @param values
     *            values
     * @return criterion
     */"
206,SearchRestrictions_belongsTo,"/**
     * Creates criterion which checks if ""belongsTo"" field is equal to given entity.
     * 
     * @param field
     *            field
     * @param entity
     *            entity
     * @return criterion
     */"
207,SearchRestrictions_disjunction,"/**
     * Creates disjunction - (... OR ... OR ...).
     * 
     * @return disjunction
     */"
208,SearchRestrictions_conjunction,"/**
     * Creates conjunction - (... AND ... AND ...).
     * 
     * @return conjunction
     */"
209,SearchProjections_list,"/**
     * Creates projection's list.
     * 
     * @return projection's list
     */"
210,SearchProjections_groupField,"/**
     * Creates projection which add given field to the ""GROUP BY"" clause.
     * 
     * @param field
     *            field
     * @return projection
     */"
211,SearchProjections_sum,"/**
     * Creates projection which add given field to the ""GROUP BY"" clause and its ""sum"" to the ""SELECT"" clause.
     * 
     * @param field
     *            field
     * @return projection
     */"
212,SearchProjections_max,"/**
     * Creates projection which add given field to the ""GROUP BY"" clause and its ""max"" to the ""SELECT"" clause.
     * 
     * @param field
     *            field
     * @return projection
     */"
213,SearchProjections_min,"/**
     * Creates projection which add given field to the ""GROUP BY"" clause and its ""min"" to the ""SELECT"" clause.
     * 
     * @param field
     *            field
     * @return projection
     */"
214,SearchProjections_avg,"/**
     * Creates projection which add given field to the ""GROUP BY"" clause and its ""avg"" to the ""SELECT"" clause.
     * 
     * @param field
     *            field
     * @return projection
     */"
215,SearchProjections_id,"/**
     * Creates projection which add ""id"" field to the ""SELECT"" clause.
     * 
     * @return projection
     */"
216,SearchProjections_field,"/**
     * Creates projection which add given field to the ""SELECT"" clause.
     * 
     * @param field
     *            field
     * @return projection
     */"
217,SearchProjections_count,"/**
     * Creates projection which add given field to the ""GROUP BY"" clause and its ""count"" to the ""SELECT"" clause.
     * 
     * @param field
     *            field
     * @return projection
     */"
218,SearchProjections_countDistinct,"/**
     * Creates projection which add given field to the ""GROUP BY"" clause and its ""count with distinct"" to the ""SELECT"" clause.
     * 
     * @param field
     *            field
     * @return projection
     */"
219,SearchProjections_distinct,"/**
     * Wraps projection with distinct projection.
     * 
     * @param projection
     *            projection
     * @return distincted projection
     */"
220,SearchProjections_rowCount,"/**
     * Creates projection which add ""count(*)"" to the ""SELECT"" clause.
     * 
     * Value returned by this projection will be a Long number.
     * 
     * @return projection
     */"
221,SearchProjections_alias,"/**
     * Wraps projection with aliased projection.
     * 
     * @param projection
     *            projection
     * @param alias
     *            alias
     * @return aliased projection
     */"
222,SearchOrders_asc,"/**
     * Creates ascending order using given field.
     * 
     * @param field
     *            field
     * @return order
     */"
223,SearchOrders_desc,"/**
     * Creates descending order using given field.
     * 
     * @param field
     *            field
     * @return order
     */"
224,SearchSubqueries_notExists,"/**
     * Creates criterion which checks if none row exists in given subquery.
     * 
     * @param criteria
     *            subcriteria
     * @return criteria
     */"
225,SearchSubqueries_exists,"/**
     * Creates criterion which checks if any row exists in given subquery.
     * 
     * @param criteria
     *            subcriteria
     * @return criteria
     */"
226,SearchSubqueries_in,"/**
     * Creates criterion which checks if given value exists in given subquery.
     * 
     * @param value
     *            value
     * @param criteria
     *            subcriteria
     * @return criteria
     */"
227,SearchSubqueries_fieldIn,"/**
     * Creates criterion which checks if given field's value exists in given subquery.
     * 
     * @param field
     *            field
     * @param criteria
     *            subcriteria
     * @return criteria
     */"
228,SearchSubqueries_notIn,"/**
     * Creates criterion which checks if given value doesn't exist in given subquery.
     * 
     * @param value
     *            value
     * @param criteria
     *            subcriteria
     * @return criteria
     */"
229,SearchSubqueries_fieldNotIn,"/**
     * Creates criterion which checks if given field's value doesn't exist in given subquery.
     * 
     * @param field
     *            field
     * @param criteria
     *            subcriteria
     * @return criteria
     */"
230,EntityTreeUtilsService_getDetachedEntityTree,"/**
     * Return new instance of DetachedEntityTreeImpl, contains specified entities
     * 
     * @param entities
     *            entity tree nodes
     * @return new instance of DetachedEntityTreeImpl
     */"
231,EntityTreeUtilsService_getSortedEntities,"/**
     * Return list of entities sorted in the same order as they appear on the tree
     * 
     * @param tree
     *            entity tree containing entities to be listed
     * @return list of sorted entities
     * 
     * @since 1.1.5
     */"
232,ErrorMessage_getMessage,"/**
     * Return validation error message.
     * 
     * @return message
     */"
233,ErrorMessage_getVars,"/**
     * Return validation error message's vars.
     * 
     * @return message's vars
     */"
234,ErrorMessage_getAutoClose,"/**
     * Return autoClose.
     * 
     * @return autoClose
     */"
235,ErrorMessage_isExtraLarge,"/**
     * Return extraLarge.
     *
     * @return extraLarge
     */"
236,GlobalMessage_getMessage,"/**
     * Return validation error message.
     * 
     * @return message
     */"
237,GlobalMessage_getVars,"/**
     * Return validation error message's vars.
     * 
     * @return message's vars
     */"
238,GlobalMessage_getAutoClose,"/**
     * Return autoClose.
     * 
     * @return autoClose
     */"
239,GlobalMessage_isExtraLarge,"/**
     * Return extraLarge.
     *
     * @return extraLarge
     */"
240,ValueAndError_withoutError,"/**
     * Build and returns new instance of {@link ValueAndError} with given
     * 
     * @param value
     * @return new instance of {@link ValueAndError}
     */"
241,ValueAndError_empty,"/**
     * Returns empty {@link ValueAndError} object
     * 
     * @return empty {@link ValueAndError} object
     */"
242,ValueAndError_withError,"/**
     * Build and returns new instance of {@link ValueAndError} with given message and args
     * 
     * @param message
     *            error message
     * @param args
     *            error message arguments (values which will replace message's place holders)
     * @return new instance of {@link ValueAndError}
     */"
243,ValueAndError_isValid,"/**
     * Checks if value is valid.
     * 
     * @return true if field value is valid. Otherwise false.
     */"
244,ValueAndError_getValue,"/**
     * Returns parsed value
     * 
     * @return parsed value
     */"
245,ValueAndError_getArgs,"/**
     * Returns error message arguments (values which will replace message's place holders)
     * 
     * @return error message arguments (values which will replace message's place holders)
     */"
246,ValueAndError_getMessage,"/**
     * Returns error message
     * 
     * @return error message
     */"
247,Order_asc,"/**
     * Create ascending order using id field.
     * 
     * @return order
     */"
248,Order_desc,"/**
     * Create descending order for given field.
     * 
     * @param fieldName
     *            field's name
     * @return order
     */"
249,Order_isAsc,"/**
     * Return true if order is ascending.
     * 
     * @return is asc
     */"
250,Order_isDesc,"/**
     * Return true if order is desc.
     * 
     * @return true if ascending
     */"
251,Order_getFieldName,"/**
     * Return field's name use for ordering.
     * 
     * @return field's name
     */"
252,DateUtils_parseAndComplete,"/**
     * Parse string into date, with autocomplete missing month, day, hour, minute and second.
     * 
     * Examples with up-complete:
     * 
     * <ul>
     * <li>2010: 2010-12-31 23:59:59</li>
     * <li>2010-03: 2010-03-31 23:59:59</li>
     * <li>2010-03-06: 2010-03-06 23:59:59</li>
     * <li>2010-03-06 19: 2010-03-06 19:59:59</li>
     * <li>2010-03-06 19:30: 2010-03-06 19:30:59</li>
     * <li>2010-03-06 19:30:20: 2010-03-06 19:30:20</li>
     * </ul>
     * 
     * Examples with down-complete:
     * 
     * <ul>
     * <li>2010: 2010-01-01 00:00:00</li>
     * <li>2010-03: 2010-03-01 00:00:00</li>
     * <li>2010-03-06: 2010-03-06 00:00:00</li>
     * <li>2010-03-06 19: 2010-03-06 19:00:00</li>
     * <li>2010-03-06 19:30: 2010-03-06 19:30:00</li>
     * <li>2010-03-06 19:30:20: 2010-03-06 19:30:20</li>
     * </ul>
     * 
     * @param dateExpression
     *            string with date expression
     * @param upComplete
     *            true if up-complete, otherwise down-complete
     * @return parsed date
     * @throws ParseException
     *             if year, month, day, hour, minute or second is invalid or when year is &lt; 1500 or &gt; 2500
     */"
253,DateUtils_toDateTimeString,"/**
     * Get date's String value in {@value DateUtils#L_DATE_TIME_FORMAT} format
     * 
     * @param date
     *            date to be formatted
     * @return date as String in {@value DateUtils#L_DATE_TIME_FORMAT} format or empty string if date is null
     */"
254,DateUtils_toDateString,"/**
     * Get date's String value in {@value DateUtils#L_DATE_FORMAT} format
     * 
     * @param date
     *            date to be formatted
     * @return date as String in {@value DateUtils#L_DATE_FORMAT} format or empty string if date is null
     */"
255,DateUtils_parseDate,"/**
     * Parse date from object
     * 
     * @param value
     *            object to be parsed. Supported argument types:
     *            <ul>
     *            <li>String - representing date in {@value DateUtils#L_DATE_TIME_FORMAT} or {@value DateUtils#L_DATE_FORMAT}
     *            format</li>
     *            <li>Date</li>
     *            <li>Number - containing number of milliseconds from 1st January 1970 00:00:00.000 GMT</li>
     *            </ul>
     * @return Date parsed from given object or null if object is null
     * @throws IllegalArgumentException
     *             if value is unsupported or has incorrect format
     */"
256,GanttChartItemStripFactory_create,"/**
     * Creates item's strip with given color and size.
     * 
     * @param color
     *            css color string. For example: ""red"", ""#45DFA9"", ""rgb(10, 55, 255)""
     * @param size
     *            percentage size of strip
     * @return new GanttChartItemStrip instance
     */"
257,NumberGeneratorService_generateAndInsertNumber,"/**
     * Generates and inserts new number to entity's form
     * 
     * @param state
     *            main view state definition
     * @param plugin
     *            plugin identifier of entity
     * @param entityName
     *            name of entity
     * @param formFieldReferenceName
     *            reference name of form
     * @param numberFieldReferenceName
     *            reference name of field into which generated number should be inserted
     */"
258,NumberGeneratorService_checkIfShouldInsertNumber,"/**
     * Checks if new entity number should be generated and inserted
     * 
     * @param state
     *            main view state definition
     * @param formFieldReferenceName
     *            reference name of form
     * @param numberFieldReferenceName
     *            reference name of field into which generated number should be inserted
     * @return true if new entity number should be generated and inserted
     */"
259,NumberGeneratorService_generateNumber,"/**
     * Generate new number of entity with specified digits number
     * 
     * @param pluginIdentifier
     *            plugin identifier of entity
     * @param modelName
     *            name of entity
     * @param numOfDigits
     *            number of digits of generated number
     * @return new number of entity
     */"
260,NumberGeneratorService_generateNumberWithPrefix,"/**
     * Generate new number of entity with specified digits number
     * 
     * @param pluginIdentifier
     *            plugin identifier of entity
     * @param modelName
     *            name of entity
     * @param numOfDigits
     *            number of digits of generated number
     * @param prefix
     *            number prefix
     * @return new number of entity
     */"
261,NumberGeneratorService_generateNumberWithSuffix,"/**
     * Generate new number of entity with specified digits number
     *
     * @param pluginIdentifier
     *            plugin identifier of entity
     * @param modelName
     *            name of entity
     * @param numOfDigits
     *            number of digits of generated number
     * @param suffix
     *            number suffix
     * @return new number of entity
     */"
262,TranslationUtilsService_getCategoryTranslation,"/**
     * Returns menu category translation
     * 
     * @param category
     *            category entity
     * @param locale
     *            localization
     * @return category translation
     */"
263,TranslationUtilsService_getCategoryDescriptionTranslation,"/**
     * Returns menu category description translation
     * 
     * @param category
     *            category entity
     * @param locale
     *            localization
     * @return category description translation or empty String if translation does not exists
     * 
     * @since 1.1.3
     */"
264,TranslationUtilsService_getItemTranslation,"/**
     * Returns menu item translation
     * 
     * @param item
     *            item entity
     * @param locale
     *            localization
     * @return item translation
     */"
265,TranslationUtilsService_getItemDescriptionTranslation,"/**
     * Returns menu item description translation
     * 
     * @param item
     *            category entity
     * @param locale
     *            localization
     * @return item description translation or empty String if translation does not exists
     * 
     * @since 1.1.3
     */"
266,TranslationUtilsService_translateAndIgnoreMissingMessages,"/**
     * Returns translation for given key or empty string if translation has been not found.
     * 
     * @param translationKey
     *            translation key
     * @param locale
     *            localization
     * @return translated message or empty String if translation does not exists
     */"
267,FormUtils_setFormEntity,"/**
     * Set Entity which be used to fill this form
     * 
     * @deprecated this method is deprecated, if you want set form's entity, use {@link FormComponent#setEntity(Entity)}
     * 
     * @param form
     *            form which want to fill
     * @param entity
     *            entity which be used to fill form
     */"
268,TimeConverterService_convertTimeToString,"/**
     * Convert string time value to string in format hh:mm:ss
     * 
     * @param duration
     *            time value from database
     * @return time value in format hh:mm:ss
     */"
269,TimeConverterService_getDateTimeFromField,"/**
     * Converts value from data field to Date
     * 
     * @deprecated This method will be removed soon. Please use {@link DateUtils#parseDate(Object)}
     * 
     * @param dateFromField
     *            value from view field
     * @return date value in format dd:mm:rrrr hh:mm
     */"
270,TimeConverterService_setDateTimeToField,"/**
     * Converts value from field to Object
     * 
     * @deprecated This method will be removed soon. Please use {@link DateUtils#toDateTimeString(Date)}
     * 
     * @param date
     *            value from entity
     * @return date to view field
     */"
271,TimeConverterService_getDateFromField,"/**
     * Converts value from data field to Date
     * 
     * @deprecated This method will be removed soon. Please use {@link DateUtils#parseDate(Object)}
     * 
     * @param dateFromField
     *            value from view field
     * @return date value in format dd:mm:rrrr
     */"
272,TimeConverterService_setDateToField,"/**
     * Converts value from field to Object
     * 
     * @deprecated This method will be removed soon. Please use {@link DateUtils#toDateString(Date)}
     * 
     * @param date
     *            value from entity
     * @return date to view field
     */"
273,NumberGeneratorModelHelper_getNumbersProjection,"/**
     * Returns a list of projection entities containing NUM_PROJECTION_ALIAS field with numberFieldName values with trimmed out
     * leading zeros. List is sorted descendant by numberFieldName.
     * 
     * @param pluginIdentifier
     *            identifier of the plugin
     * @param modelName
     *            name of the model
     * @param numberFieldName
     *            name of the field for which number will be generated
     * @param prefix
     *            number prefix
     * @param suffix
     *            number suffix
     * @return a list of projection entities containing NUM_PROJECTION_ALIAS field with numberFieldName values with trimmed out
     *         leading zeros. List is sorted descendant by numberFieldName.
     */"
274,RowStyleResolver_resolve,"/**
     * Resolve CSS classes for grid rows
     * 
     * @param entities
     *            list of entities which the CSS class will be resolved
     * @return entity identifiers mapped to appropriate set of the CSS classes.
     */"
275,ComponentOption_getAttributeValue,"/**
     * Return attribute's value.
     * 
     * @param name
     *            attribute's name
     * @return value
     */"
276,ComponentOption_getType,"/**
     * Return option's type.
     * 
     * @return type
     */"
277,ComponentOption_getValue,"/**
     * Return option's value - if there is only one attribute, its value will be returned, otherwise value of the ""value""
     * attribute is returned.
     * 
     * @return value
     */"
278,ModalDimensions_parseFromOptions,"/**
     * Parse and create new instance of modal dimensions object from component options. Use default values defined in
     * {@link ModalDimensions#DEFAULT_WIDTH} and {@link ModalDimensions#DEFAULT_HEIGHT} if ""modalWidth"" or/and ""modalHeight""
     * attribute was not specified.
     * 
     * @param componentOptions
     *            component's options
     * @return modal dimensions instance.
     */"
279,ModalDimensions_toJson,"/**
     * Get modal dimensions as JSON
     * 
     * @return modal dimensions as JSON
     * @throws JSONException
     */"
280,ModalDimensions_getWidth,"/**
     * get modal width
     * 
     * @return modal width
     */"
281,ModalDimensions_getHeight,"/**
     * get modal height
     * 
     * @return modal height
     */"
282,ResourceModule_serveResource,"/**
     * Serves resource to response
     * 
     * @param request
     * @param response
     * @return true when resource was served
     */"
283,MenuDefinition_getItems,"/**
     * Get all menu groups
     * 
     * @return menu groups
     */"
284,MenuDefinition_addItem,"/**
     * Add group to menu
     * 
     * @param item
     */"
285,MenuDefinition_getAsJson,"/**
     * Generates JSON string that contains all menu definition
     * 
     * @return JSON menu definition
     */"
286,MenuDefinition_getAdministrationCategory,"/**
     * Returns administration category of this menu
     * 
     * @return administration category of this menu
     */"
287,MenuDefinition_setAdministrationCategory,"/**
     * Sets content of administration category
     * 
     * @param administrationCategory
     *            new content of administration category
     */"
288,MenuDefinition_getHomeCategory,"/**
     * Returns home category of this menu
     * 
     * @return home category of this menu
     */"
289,MenuDefinition_setHomeCategory,"/**
     * Sets content of home category
     * 
     * @param homeCategory
     *            new content of home category
     */"
290,MenuItemsGroup_getName,"/**
     * Get identifier of group
     * 
     * @return identifier of group
     */"
291,MenuItemsGroup_getLabel,"/**
     * Get group label to display
     * 
     * @return group label to display
     */"
292,MenuItemsGroup_getItems,"/**
     * Get list of all items of group
     * 
     * @return list of all items of group
     */"
293,MenuItemsGroup_addItem,"/**
     * Add item to menu group
     * 
     * @param item
     *            item to add
     */"
294,MenuItemsGroup_getAsJson,"/**
     * Generates JSON representation of this menu group
     * 
     * @return JSON group representation
     * @throws JSONException
     */"
295,MenuItem_getName,"/**
     * Get identifier of item
     * 
     * @return identifier of item
     */"
296,MenuItem_getLabel,"/**
     * Get item label to display
     * 
     * @return item label to display
     */"
297,MenuItem_getDescription,"/**
     * Get item description to display as a tooltip
     * 
     * @return item description to display as a tooltip
     */"
298,MenuItem_getPluginIdentifier,"/**
     * Get plugin identifier of this item
     * 
     * @return plugin identifier of this item
     */"
299,MenuItem_getPage,"/**
     * Get URL that this item leads to
     * 
     * @return URL that this item leads to
     */"
300,MenuItem_getAsJson,"/**
     * Generates JSON representation of this item
     * 
     * @return JSON representation of this item
     * @throws JSONException
     */"
301,GridComponentFilterException_getFilterValue,"/**
     * Returns value of column's filter
     * 
     * @return value of column's filter
     */"
302,DateRange_contains,"/**
     * Check if this date range contains given date.
     * 
     * @param date
     *            date to be checked
     * @return true if this date range contains given date
     */"
303,DateRange_getFrom,"/**
     * Get lower bound date.
     * 
     * @return lower bound date or null
     */"
304,DateRange_getTo,"/**
     * Get upper bound date.
     * 
     * @return upper bound date or null
     */"
305,TimeRange_startsDayBefore,"/**
     * @return true if from is greater than to.
     */"
306,TimeRange_contains,"/**
     * Check if given time is included in this time range. If from & to boundaries is in reversed order (time from is greater than
     * to; startsDayBefore() returns true) then it will be checked that given time is contained in range [from time = midnight
     * (inclusive)] or [midnight - to time].
     * 
     * @param time
     * @return true if this time range contains given time.
     */"
307,DefaultAsyncTaskExecutorWrapper_onException,"/**
     * This method is performed whenever executed task throws uncaught exception.
     * 
     * @param ex
     *            exception thrown by task
     */"
308,LazyStream_create,"/**
     * Create a new instance of LazyStream.
     * 
     * @param firstElement
     *            first element, will be used to calculate tail (and therefore alternate element)
     * @param inductionStep
     *            function consuming current stream's element and producing next one.
     * @param <U>
     *            type of Stream elements.
     * @return new instance of LazyStream
     */"
309,LazyStream_head,"/**
     * Return underlying value, contained in this particular LazyStream chain.
     * 
     * @return underlying value
     */"
310,LazyStream_tail,"/**
     * Returns forwarding elements as a LazyStream. Returned stream is generated lazily, when you're calling tail() for the first
     * time, and stored for further invocations. Therefore further invocations of tail() will not evaluate induction function.
     * 
     * @return alternate elements as a LazyStream.
     */"
311,EntityListMock_create,"/**
     * Create a new mock instance of an EntityList, containing given values, with find() method stubbed for returning
     * SearchCriteriaBuilder objects produced by given supplier (factory, provider).
     * 
     * @param elements
     *            content of new mock
     * @param criteriaBuilderFactory
     *            SearchCriteriaBuilder objects supplier
     * @return a new instance of an EntityList mock
     */"
